Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T22_nmos_svt_test_1,ft,80.25e9,,,
1,ft_test_T22_nmos_svt_test_1,cgg,5.829e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgs,3.212e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgd,2.234e-15,,,
1,ft_test_T22_nmos_svt_test_1,vth,284.3e-3,,,
1,ft_test_T22_nmos_svt_test_1,vdsat,100.3e-3,,,
1,ft_test_T22_nmos_svt_test_1,gm,5.11e-3,,,
1,ft_test_T22_nmos_svt_test_1,gds,637.3e-6,,,
1,ft_test_T22_nmos_svt_test_1,gain,8.019,,,
1,ft_test_T22_nmos_svt_test_1,ids,335e-6,,,
1,ft_test_T22_nmos_svt_test_1,gm_id,15.26,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T22_nmos_svt_test_1,ft,123.6e9,,,
2,ft_test_T22_nmos_svt_test_1,cgg,6.417e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgs,3.808e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgd,2.285e-15,,,
2,ft_test_T22_nmos_svt_test_1,vth,284.6e-3,,,
2,ft_test_T22_nmos_svt_test_1,vdsat,110.5e-3,,,
2,ft_test_T22_nmos_svt_test_1,gm,8.332e-3,,,
2,ft_test_T22_nmos_svt_test_1,gds,1.03e-3,,,
2,ft_test_T22_nmos_svt_test_1,gain,8.087,,,
2,ft_test_T22_nmos_svt_test_1,ids,660.8e-6,,,
2,ft_test_T22_nmos_svt_test_1,gm_id,12.61,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T22_nmos_svt_test_1,ft,164.5e9,,,
3,ft_test_T22_nmos_svt_test_1,cgg,6.903e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgs,4.282e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgd,2.343e-15,,,
3,ft_test_T22_nmos_svt_test_1,vth,285e-3,,,
3,ft_test_T22_nmos_svt_test_1,vdsat,124.2e-3,,,
3,ft_test_T22_nmos_svt_test_1,gm,11.64e-3,,,
3,ft_test_T22_nmos_svt_test_1,gds,1.446e-3,,,
3,ft_test_T22_nmos_svt_test_1,gain,8.045,,,
3,ft_test_T22_nmos_svt_test_1,ids,1.143e-3,,,
3,ft_test_T22_nmos_svt_test_1,gm_id,10.18,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T22_nmos_svt_test_1,ft,196.5e9,,,
4,ft_test_T22_nmos_svt_test_1,cgg,7.26e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgs,4.61e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgd,2.405e-15,,,
4,ft_test_T22_nmos_svt_test_1,vth,285.6e-3,,,
4,ft_test_T22_nmos_svt_test_1,vdsat,140.6e-3,,,
4,ft_test_T22_nmos_svt_test_1,gm,14.39e-3,,,
4,ft_test_T22_nmos_svt_test_1,gds,1.83e-3,,,
4,ft_test_T22_nmos_svt_test_1,gain,7.864,,,
4,ft_test_T22_nmos_svt_test_1,ids,1.766e-3,,,
4,ft_test_T22_nmos_svt_test_1,gm_id,8.146,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T22_nmos_svt_test_1,ft,216e9,,,
5,ft_test_T22_nmos_svt_test_1,cgg,7.529e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgs,4.84e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgd,2.466e-15,,,
5,ft_test_T22_nmos_svt_test_1,vth,286.2e-3,,,
5,ft_test_T22_nmos_svt_test_1,vdsat,159e-3,,,
5,ft_test_T22_nmos_svt_test_1,gm,16.27e-3,,,
5,ft_test_T22_nmos_svt_test_1,gds,2.163e-3,,,
5,ft_test_T22_nmos_svt_test_1,gain,7.524,,,
5,ft_test_T22_nmos_svt_test_1,ids,2.494e-3,,,
5,ft_test_T22_nmos_svt_test_1,gm_id,6.525,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T22_nmos_svt_test_1,ft,225.9e9,,,
6,ft_test_T22_nmos_svt_test_1,cgg,7.74e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgs,5.01e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgd,2.524e-15,,,
6,ft_test_T22_nmos_svt_test_1,vth,286.9e-3,,,
6,ft_test_T22_nmos_svt_test_1,vdsat,178.9e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm,17.3e-3,,,
6,ft_test_T22_nmos_svt_test_1,gds,2.464e-3,,,
6,ft_test_T22_nmos_svt_test_1,gain,7.021,,,
6,ft_test_T22_nmos_svt_test_1,ids,3.286e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm_id,5.266,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T22_nmos_svt_test_1,ft,227.1e9,,,
7,ft_test_T22_nmos_svt_test_1,cgg,7.911e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgs,5.144e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgd,2.576e-15,,,
7,ft_test_T22_nmos_svt_test_1,vth,287.6e-3,,,
7,ft_test_T22_nmos_svt_test_1,vdsat,200.2e-3,,,
7,ft_test_T22_nmos_svt_test_1,gm,17.65e-3,,,
7,ft_test_T22_nmos_svt_test_1,gds,2.77e-3,,,
7,ft_test_T22_nmos_svt_test_1,gain,6.372,,,
7,ft_test_T22_nmos_svt_test_1,ids,4.106e-3,,,
7,ft_test_T22_nmos_svt_test_1,gm_id,4.298,,,
"Parameters: VDS=500m, VGS=650m",,,,,,
8,ft_test_T22_nmos_svt_test_1,ft,222.3e9,,,
8,ft_test_T22_nmos_svt_test_1,cgg,8.06e-15,,,
8,ft_test_T22_nmos_svt_test_1,cgs,5.254e-15,,,
8,ft_test_T22_nmos_svt_test_1,cgd,2.628e-15,,,
8,ft_test_T22_nmos_svt_test_1,vth,288.3e-3,,,
8,ft_test_T22_nmos_svt_test_1,vdsat,222.5e-3,,,
8,ft_test_T22_nmos_svt_test_1,gm,17.52e-3,,,
8,ft_test_T22_nmos_svt_test_1,gds,3.116e-3,,,
8,ft_test_T22_nmos_svt_test_1,gain,5.624,,,
8,ft_test_T22_nmos_svt_test_1,ids,4.929e-3,,,
8,ft_test_T22_nmos_svt_test_1,gm_id,3.555,,,
"Parameters: VDS=500m, VGS=700m",,,,,,
9,ft_test_T22_nmos_svt_test_1,ft,214.3e9,,,
9,ft_test_T22_nmos_svt_test_1,cgg,8.202e-15,,,
9,ft_test_T22_nmos_svt_test_1,cgs,5.348e-15,,,
9,ft_test_T22_nmos_svt_test_1,cgd,2.688e-15,,,
9,ft_test_T22_nmos_svt_test_1,vth,289.1e-3,,,
9,ft_test_T22_nmos_svt_test_1,vdsat,245.6e-3,,,
9,ft_test_T22_nmos_svt_test_1,gm,17.09e-3,,,
9,ft_test_T22_nmos_svt_test_1,gds,3.532e-3,,,
9,ft_test_T22_nmos_svt_test_1,gain,4.838,,,
9,ft_test_T22_nmos_svt_test_1,ids,5.737e-3,,,
9,ft_test_T22_nmos_svt_test_1,gm_id,2.978,,,
"Parameters: VDS=500m, VGS=750m",,,,,,
10,ft_test_T22_nmos_svt_test_1,ft,204.6e9,,,
10,ft_test_T22_nmos_svt_test_1,cgg,8.346e-15,,,
10,ft_test_T22_nmos_svt_test_1,cgs,5.428e-15,,,
10,ft_test_T22_nmos_svt_test_1,cgd,2.765e-15,,,
10,ft_test_T22_nmos_svt_test_1,vth,289.7e-3,,,
10,ft_test_T22_nmos_svt_test_1,vdsat,269.5e-3,,,
10,ft_test_T22_nmos_svt_test_1,gm,16.47e-3,,,
10,ft_test_T22_nmos_svt_test_1,gds,4.037e-3,,,
10,ft_test_T22_nmos_svt_test_1,gain,4.081,,,
10,ft_test_T22_nmos_svt_test_1,ids,6.519e-3,,,
10,ft_test_T22_nmos_svt_test_1,gm_id,2.527,,,
"Parameters: VDS=500m, VGS=800m",,,,,,
11,ft_test_T22_nmos_svt_test_1,ft,193.1e9,,,
11,ft_test_T22_nmos_svt_test_1,cgg,8.496e-15,,,
11,ft_test_T22_nmos_svt_test_1,cgs,5.492e-15,,,
11,ft_test_T22_nmos_svt_test_1,cgd,2.866e-15,,,
11,ft_test_T22_nmos_svt_test_1,vth,290.4e-3,,,
11,ft_test_T22_nmos_svt_test_1,vdsat,294.1e-3,,,
11,ft_test_T22_nmos_svt_test_1,gm,15.76e-3,,,
11,ft_test_T22_nmos_svt_test_1,gds,4.635e-3,,,
11,ft_test_T22_nmos_svt_test_1,gain,3.401,,,
11,ft_test_T22_nmos_svt_test_1,ids,7.269e-3,,,
11,ft_test_T22_nmos_svt_test_1,gm_id,2.168,,,
"Parameters: VDS=600m, VGS=300m",,,,,,
12,ft_test_T22_nmos_svt_test_1,ft,92.23e9,,,
12,ft_test_T22_nmos_svt_test_1,cgg,5.743e-15,,,
12,ft_test_T22_nmos_svt_test_1,cgs,3.206e-15,,,
12,ft_test_T22_nmos_svt_test_1,cgd,2.153e-15,,,
12,ft_test_T22_nmos_svt_test_1,vth,273.1e-3,,,
12,ft_test_T22_nmos_svt_test_1,vdsat,102.7e-3,,,
12,ft_test_T22_nmos_svt_test_1,gm,5.838e-3,,,
12,ft_test_T22_nmos_svt_test_1,gds,717.2e-6,,,
12,ft_test_T22_nmos_svt_test_1,gain,8.139,,,
12,ft_test_T22_nmos_svt_test_1,ids,401.3e-6,,,
12,ft_test_T22_nmos_svt_test_1,gm_id,14.55,,,
"Parameters: VDS=600m, VGS=350m",,,,,,
13,ft_test_T22_nmos_svt_test_1,ft,136.2e9,,,
13,ft_test_T22_nmos_svt_test_1,cgg,6.316e-15,,,
13,ft_test_T22_nmos_svt_test_1,cgs,3.797e-15,,,
13,ft_test_T22_nmos_svt_test_1,cgd,2.195e-15,,,
13,ft_test_T22_nmos_svt_test_1,vth,273.4e-3,,,
13,ft_test_T22_nmos_svt_test_1,vdsat,113.6e-3,,,
13,ft_test_T22_nmos_svt_test_1,gm,9.155e-3,,,
13,ft_test_T22_nmos_svt_test_1,gds,1.113e-3,,,
13,ft_test_T22_nmos_svt_test_1,gain,8.225,,,
13,ft_test_T22_nmos_svt_test_1,ids,764.6e-6,,,
13,ft_test_T22_nmos_svt_test_1,gm_id,11.97,,,
"Parameters: VDS=600m, VGS=400m",,,,,,
14,ft_test_T22_nmos_svt_test_1,ft,176.7e9,,,
14,ft_test_T22_nmos_svt_test_1,cgg,6.79e-15,,,
14,ft_test_T22_nmos_svt_test_1,cgs,4.267e-15,,,
14,ft_test_T22_nmos_svt_test_1,cgd,2.244e-15,,,
14,ft_test_T22_nmos_svt_test_1,vth,273.9e-3,,,
14,ft_test_T22_nmos_svt_test_1,vdsat,127.8e-3,,,
14,ft_test_T22_nmos_svt_test_1,gm,12.42e-3,,,
14,ft_test_T22_nmos_svt_test_1,gds,1.51e-3,,,
14,ft_test_T22_nmos_svt_test_1,gain,8.221,,,
14,ft_test_T22_nmos_svt_test_1,ids,1.284e-3,,,
14,ft_test_T22_nmos_svt_test_1,gm_id,9.667,,,
"Parameters: VDS=600m, VGS=450m",,,,,,
15,ft_test_T22_nmos_svt_test_1,ft,207e9,,,
15,ft_test_T22_nmos_svt_test_1,cgg,7.139e-15,,,
15,ft_test_T22_nmos_svt_test_1,cgs,4.592e-15,,,
15,ft_test_T22_nmos_svt_test_1,cgd,2.3e-15,,,
15,ft_test_T22_nmos_svt_test_1,vth,274.4e-3,,,
15,ft_test_T22_nmos_svt_test_1,vdsat,144.5e-3,,,
15,ft_test_T22_nmos_svt_test_1,gm,15.05e-3,,,
15,ft_test_T22_nmos_svt_test_1,gds,1.856e-3,,,
15,ft_test_T22_nmos_svt_test_1,gain,8.11,,,
15,ft_test_T22_nmos_svt_test_1,ids,1.941e-3,,,
15,ft_test_T22_nmos_svt_test_1,gm_id,7.756,,,
"Parameters: VDS=600m, VGS=500m",,,,,,
16,ft_test_T22_nmos_svt_test_1,ft,225.5e9,,,
16,ft_test_T22_nmos_svt_test_1,cgg,7.407e-15,,,
16,ft_test_T22_nmos_svt_test_1,cgs,4.819e-15,,,
16,ft_test_T22_nmos_svt_test_1,cgd,2.362e-15,,,
16,ft_test_T22_nmos_svt_test_1,vth,275.1e-3,,,
16,ft_test_T22_nmos_svt_test_1,vdsat,163.1e-3,,,
16,ft_test_T22_nmos_svt_test_1,gm,16.83e-3,,,
16,ft_test_T22_nmos_svt_test_1,gds,2.134e-3,,,
16,ft_test_T22_nmos_svt_test_1,gain,7.883,,,
16,ft_test_T22_nmos_svt_test_1,ids,2.696e-3,,,
16,ft_test_T22_nmos_svt_test_1,gm_id,6.241,,,
"Parameters: VDS=600m, VGS=550m",,,,,,
17,ft_test_T22_nmos_svt_test_1,ft,234.3e9,,,
17,ft_test_T22_nmos_svt_test_1,cgg,7.623e-15,,,
17,ft_test_T22_nmos_svt_test_1,cgs,4.987e-15,,,
17,ft_test_T22_nmos_svt_test_1,cgd,2.427e-15,,,
17,ft_test_T22_nmos_svt_test_1,vth,275.8e-3,,,
17,ft_test_T22_nmos_svt_test_1,vdsat,183.3e-3,,,
17,ft_test_T22_nmos_svt_test_1,gm,17.8e-3,,,
17,ft_test_T22_nmos_svt_test_1,gds,2.361e-3,,,
17,ft_test_T22_nmos_svt_test_1,gain,7.536,,,
17,ft_test_T22_nmos_svt_test_1,ids,3.511e-3,,,
17,ft_test_T22_nmos_svt_test_1,gm_id,5.068,,,
"Parameters: VDS=600m, VGS=600m",,,,,,
18,ft_test_T22_nmos_svt_test_1,ft,235.5e9,,,
18,ft_test_T22_nmos_svt_test_1,cgg,7.803e-15,,,
18,ft_test_T22_nmos_svt_test_1,cgs,5.117e-15,,,
18,ft_test_T22_nmos_svt_test_1,cgd,2.49e-15,,,
18,ft_test_T22_nmos_svt_test_1,vth,276.5e-3,,,
18,ft_test_T22_nmos_svt_test_1,vdsat,204.6e-3,,,
18,ft_test_T22_nmos_svt_test_1,gm,18.15e-3,,,
18,ft_test_T22_nmos_svt_test_1,gds,2.565e-3,,,
18,ft_test_T22_nmos_svt_test_1,gain,7.075,,,
18,ft_test_T22_nmos_svt_test_1,ids,4.354e-3,,,
18,ft_test_T22_nmos_svt_test_1,gm_id,4.168,,,
"Parameters: VDS=600m, VGS=650m",,,,,,
19,ft_test_T22_nmos_svt_test_1,ft,231.8e9,,,
19,ft_test_T22_nmos_svt_test_1,cgg,7.956e-15,,,
19,ft_test_T22_nmos_svt_test_1,cgs,5.223e-15,,,
19,ft_test_T22_nmos_svt_test_1,cgd,2.55e-15,,,
19,ft_test_T22_nmos_svt_test_1,vth,277.3e-3,,,
19,ft_test_T22_nmos_svt_test_1,vdsat,227e-3,,,
19,ft_test_T22_nmos_svt_test_1,gm,18.08e-3,,,
19,ft_test_T22_nmos_svt_test_1,gds,2.775e-3,,,
19,ft_test_T22_nmos_svt_test_1,gain,6.516,,,
19,ft_test_T22_nmos_svt_test_1,ids,5.202e-3,,,
19,ft_test_T22_nmos_svt_test_1,gm_id,3.476,,,
"Parameters: VDS=600m, VGS=700m",,,,,,
20,ft_test_T22_nmos_svt_test_1,ft,225e9,,,
20,ft_test_T22_nmos_svt_test_1,cgg,8.089e-15,,,
20,ft_test_T22_nmos_svt_test_1,cgs,5.312e-15,,,
20,ft_test_T22_nmos_svt_test_1,cgd,2.605e-15,,,
20,ft_test_T22_nmos_svt_test_1,vth,278e-3,,,
20,ft_test_T22_nmos_svt_test_1,vdsat,250.2e-3,,,
20,ft_test_T22_nmos_svt_test_1,gm,17.75e-3,,,
20,ft_test_T22_nmos_svt_test_1,gds,3.015e-3,,,
20,ft_test_T22_nmos_svt_test_1,gain,5.888,,,
20,ft_test_T22_nmos_svt_test_1,ids,6.039e-3,,,
20,ft_test_T22_nmos_svt_test_1,gm_id,2.94,,,
"Parameters: VDS=600m, VGS=750m",,,,,,
21,ft_test_T22_nmos_svt_test_1,ft,216.4e9,,,
21,ft_test_T22_nmos_svt_test_1,cgg,8.212e-15,,,
21,ft_test_T22_nmos_svt_test_1,cgs,5.39e-15,,,
21,ft_test_T22_nmos_svt_test_1,cgd,2.661e-15,,,
21,ft_test_T22_nmos_svt_test_1,vth,278.7e-3,,,
21,ft_test_T22_nmos_svt_test_1,vdsat,274.1e-3,,,
21,ft_test_T22_nmos_svt_test_1,gm,17.27e-3,,,
21,ft_test_T22_nmos_svt_test_1,gds,3.303e-3,,,
21,ft_test_T22_nmos_svt_test_1,gain,5.227,,,
21,ft_test_T22_nmos_svt_test_1,ids,6.857e-3,,,
21,ft_test_T22_nmos_svt_test_1,gm_id,2.518,,,
"Parameters: VDS=600m, VGS=800m",,,,,,
22,ft_test_T22_nmos_svt_test_1,ft,207.8e9,,,
22,ft_test_T22_nmos_svt_test_1,cgg,8.331e-15,,,
22,ft_test_T22_nmos_svt_test_1,cgs,5.458e-15,,,
22,ft_test_T22_nmos_svt_test_1,cgd,2.723e-15,,,
22,ft_test_T22_nmos_svt_test_1,vth,279.4e-3,,,
22,ft_test_T22_nmos_svt_test_1,vdsat,298.6e-3,,,
22,ft_test_T22_nmos_svt_test_1,gm,16.69e-3,,,
22,ft_test_T22_nmos_svt_test_1,gds,3.65e-3,,,
22,ft_test_T22_nmos_svt_test_1,gain,4.573,,,
22,ft_test_T22_nmos_svt_test_1,ids,7.65e-3,,,
22,ft_test_T22_nmos_svt_test_1,gm_id,2.182,,,
"Parameters: VDS=700m, VGS=300m",,,,,,
23,ft_test_T22_nmos_svt_test_1,ft,104.5e9,,,
23,ft_test_T22_nmos_svt_test_1,cgg,5.674e-15,,,
23,ft_test_T22_nmos_svt_test_1,cgs,3.2e-15,,,
23,ft_test_T22_nmos_svt_test_1,cgd,2.089e-15,,,
23,ft_test_T22_nmos_svt_test_1,vth,261.9e-3,,,
23,ft_test_T22_nmos_svt_test_1,vdsat,105.3e-3,,,
23,ft_test_T22_nmos_svt_test_1,gm,6.589e-3,,,
23,ft_test_T22_nmos_svt_test_1,gds,800.3e-6,,,
23,ft_test_T22_nmos_svt_test_1,gain,8.233,,,
23,ft_test_T22_nmos_svt_test_1,ids,475.5e-6,,,
23,ft_test_T22_nmos_svt_test_1,gm_id,13.86,,,
"Parameters: VDS=700m, VGS=350m",,,,,,
24,ft_test_T22_nmos_svt_test_1,ft,149.2e9,,,
24,ft_test_T22_nmos_svt_test_1,cgg,6.233e-15,,,
24,ft_test_T22_nmos_svt_test_1,cgs,3.785e-15,,,
24,ft_test_T22_nmos_svt_test_1,cgd,2.122e-15,,,
24,ft_test_T22_nmos_svt_test_1,vth,262.2e-3,,,
24,ft_test_T22_nmos_svt_test_1,vdsat,116.8e-3,,,
24,ft_test_T22_nmos_svt_test_1,gm,9.961e-3,,,
24,ft_test_T22_nmos_svt_test_1,gds,1.197e-3,,,
24,ft_test_T22_nmos_svt_test_1,gain,8.325,,,
24,ft_test_T22_nmos_svt_test_1,ids,876.1e-6,,,
24,ft_test_T22_nmos_svt_test_1,gm_id,11.37,,,
"Parameters: VDS=700m, VGS=400m",,,,,,
25,ft_test_T22_nmos_svt_test_1,ft,187.5e9,,,
25,ft_test_T22_nmos_svt_test_1,cgg,6.694e-15,,,
25,ft_test_T22_nmos_svt_test_1,cgs,4.252e-15,,,
25,ft_test_T22_nmos_svt_test_1,cgd,2.162e-15,,,
25,ft_test_T22_nmos_svt_test_1,vth,262.7e-3,,,
25,ft_test_T22_nmos_svt_test_1,vdsat,131.4e-3,,,
25,ft_test_T22_nmos_svt_test_1,gm,13.14e-3,,,
25,ft_test_T22_nmos_svt_test_1,gds,1.576e-3,,,
25,ft_test_T22_nmos_svt_test_1,gain,8.339,,,
25,ft_test_T22_nmos_svt_test_1,ids,1.432e-3,,,
25,ft_test_T22_nmos_svt_test_1,gm_id,9.18,,,
"Parameters: VDS=700m, VGS=450m",,,,,,
26,ft_test_T22_nmos_svt_test_1,ft,215.8e9,,,
26,ft_test_T22_nmos_svt_test_1,cgg,7.032e-15,,,
26,ft_test_T22_nmos_svt_test_1,cgs,4.575e-15,,,
26,ft_test_T22_nmos_svt_test_1,cgd,2.208e-15,,,
26,ft_test_T22_nmos_svt_test_1,vth,263.3e-3,,,
26,ft_test_T22_nmos_svt_test_1,vdsat,148.5e-3,,,
26,ft_test_T22_nmos_svt_test_1,gm,15.64e-3,,,
26,ft_test_T22_nmos_svt_test_1,gds,1.892e-3,,,
26,ft_test_T22_nmos_svt_test_1,gain,8.265,,,
26,ft_test_T22_nmos_svt_test_1,ids,2.118e-3,,,
26,ft_test_T22_nmos_svt_test_1,gm_id,7.383,,,
"Parameters: VDS=700m, VGS=500m",,,,,,
27,ft_test_T22_nmos_svt_test_1,ft,233.5e9,,,
27,ft_test_T22_nmos_svt_test_1,cgg,7.29e-15,,,
27,ft_test_T22_nmos_svt_test_1,cgs,4.801e-15,,,
27,ft_test_T22_nmos_svt_test_1,cgd,2.261e-15,,,
27,ft_test_T22_nmos_svt_test_1,vth,264e-3,,,
27,ft_test_T22_nmos_svt_test_1,vdsat,167.3e-3,,,
27,ft_test_T22_nmos_svt_test_1,gm,17.28e-3,,,
27,ft_test_T22_nmos_svt_test_1,gds,2.134e-3,,,
27,ft_test_T22_nmos_svt_test_1,gain,8.099,,,
27,ft_test_T22_nmos_svt_test_1,ids,2.897e-3,,,
27,ft_test_T22_nmos_svt_test_1,gm_id,5.965,,,
"Parameters: VDS=700m, VGS=550m",,,,,,
28,ft_test_T22_nmos_svt_test_1,ft,241e9,,,
28,ft_test_T22_nmos_svt_test_1,cgg,7.499e-15,,,
28,ft_test_T22_nmos_svt_test_1,cgs,4.968e-15,,,
28,ft_test_T22_nmos_svt_test_1,cgd,2.321e-15,,,
28,ft_test_T22_nmos_svt_test_1,vth,264.7e-3,,,
28,ft_test_T22_nmos_svt_test_1,vdsat,187.6e-3,,,
28,ft_test_T22_nmos_svt_test_1,gm,18.16e-3,,,
28,ft_test_T22_nmos_svt_test_1,gds,2.316e-3,,,
28,ft_test_T22_nmos_svt_test_1,gain,7.841,,,
28,ft_test_T22_nmos_svt_test_1,ids,3.73e-3,,,
28,ft_test_T22_nmos_svt_test_1,gm_id,4.869,,,
"Parameters: VDS=700m, VGS=600m",,,,,,
29,ft_test_T22_nmos_svt_test_1,ft,241.8e9,,,
29,ft_test_T22_nmos_svt_test_1,cgg,7.678e-15,,,
29,ft_test_T22_nmos_svt_test_1,cgs,5.096e-15,,,
29,ft_test_T22_nmos_svt_test_1,cgd,2.385e-15,,,
29,ft_test_T22_nmos_svt_test_1,vth,265.5e-3,,,
29,ft_test_T22_nmos_svt_test_1,vdsat,209.1e-3,,,
29,ft_test_T22_nmos_svt_test_1,gm,18.48e-3,,,
29,ft_test_T22_nmos_svt_test_1,gds,2.466e-3,,,
29,ft_test_T22_nmos_svt_test_1,gain,7.496,,,
29,ft_test_T22_nmos_svt_test_1,ids,4.589e-3,,,
29,ft_test_T22_nmos_svt_test_1,gm_id,4.028,,,
"Parameters: VDS=700m, VGS=650m",,,,,,
30,ft_test_T22_nmos_svt_test_1,ft,238.4e9,,,
30,ft_test_T22_nmos_svt_test_1,cgg,7.836e-15,,,
30,ft_test_T22_nmos_svt_test_1,cgs,5.198e-15,,,
30,ft_test_T22_nmos_svt_test_1,cgd,2.452e-15,,,
30,ft_test_T22_nmos_svt_test_1,vth,266.2e-3,,,
30,ft_test_T22_nmos_svt_test_1,vdsat,231.6e-3,,,
30,ft_test_T22_nmos_svt_test_1,gm,18.43e-3,,,
30,ft_test_T22_nmos_svt_test_1,gds,2.607e-3,,,
30,ft_test_T22_nmos_svt_test_1,gain,7.071,,,
30,ft_test_T22_nmos_svt_test_1,ids,5.453e-3,,,
30,ft_test_T22_nmos_svt_test_1,gm_id,3.381,,,
"Parameters: VDS=700m, VGS=700m",,,,,,
31,ft_test_T22_nmos_svt_test_1,ft,232.4e9,,,
31,ft_test_T22_nmos_svt_test_1,cgg,7.976e-15,,,
31,ft_test_T22_nmos_svt_test_1,cgs,5.284e-15,,,
31,ft_test_T22_nmos_svt_test_1,cgd,2.517e-15,,,
