Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T22_nmos_svt_test_1,ft,99.12e9,,,
1,ft_test_T22_nmos_svt_test_1,cgg,5.981e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgs,3.565e-15,,,
1,ft_test_T22_nmos_svt_test_1,cgd,2.079e-15,,,
1,ft_test_T22_nmos_svt_test_1,vth,204.4e-3,,,
1,ft_test_T22_nmos_svt_test_1,vdsat,136.5e-3,,,
1,ft_test_T22_nmos_svt_test_1,gm,6.544e-3,,,
1,ft_test_T22_nmos_svt_test_1,gds,875.7e-6,,,
1,ft_test_T22_nmos_svt_test_1,gain,7.473,,,
1,ft_test_T22_nmos_svt_test_1,ids,498.8e-6,,,
1,ft_test_T22_nmos_svt_test_1,gm_id,13.12,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T22_nmos_svt_test_1,ft,140e9,,,
2,ft_test_T22_nmos_svt_test_1,cgg,6.403e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgs,3.965e-15,,,
2,ft_test_T22_nmos_svt_test_1,cgd,2.139e-15,,,
2,ft_test_T22_nmos_svt_test_1,vth,204.8e-3,,,
2,ft_test_T22_nmos_svt_test_1,vdsat,152.1e-3,,,
2,ft_test_T22_nmos_svt_test_1,gm,9.64e-3,,,
2,ft_test_T22_nmos_svt_test_1,gds,1.285e-3,,,
2,ft_test_T22_nmos_svt_test_1,gain,7.501,,,
2,ft_test_T22_nmos_svt_test_1,ids,888.8e-6,,,
2,ft_test_T22_nmos_svt_test_1,gm_id,10.85,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T22_nmos_svt_test_1,ft,178.3e9,,,
3,ft_test_T22_nmos_svt_test_1,cgg,6.753e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgs,4.277e-15,,,
3,ft_test_T22_nmos_svt_test_1,cgd,2.206e-15,,,
3,ft_test_T22_nmos_svt_test_1,vth,205.4e-3,,,
3,ft_test_T22_nmos_svt_test_1,vdsat,169.6e-3,,,
3,ft_test_T22_nmos_svt_test_1,gm,12.73e-3,,,
3,ft_test_T22_nmos_svt_test_1,gds,1.717e-3,,,
3,ft_test_T22_nmos_svt_test_1,gain,7.412,,,
3,ft_test_T22_nmos_svt_test_1,ids,1.423e-3,,,
3,ft_test_T22_nmos_svt_test_1,gm_id,8.944,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T22_nmos_svt_test_1,ft,209.5e9,,,
4,ft_test_T22_nmos_svt_test_1,cgg,7.044e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgs,4.524e-15,,,
4,ft_test_T22_nmos_svt_test_1,cgd,2.276e-15,,,
4,ft_test_T22_nmos_svt_test_1,vth,206.1e-3,,,
4,ft_test_T22_nmos_svt_test_1,vdsat,188.3e-3,,,
4,ft_test_T22_nmos_svt_test_1,gm,15.42e-3,,,
4,ft_test_T22_nmos_svt_test_1,gds,2.143e-3,,,
4,ft_test_T22_nmos_svt_test_1,gain,7.193,,,
4,ft_test_T22_nmos_svt_test_1,ids,2.088e-3,,,
4,ft_test_T22_nmos_svt_test_1,gm_id,7.385,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T22_nmos_svt_test_1,ft,232e9,,,
5,ft_test_T22_nmos_svt_test_1,cgg,7.289e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgs,4.722e-15,,,
5,ft_test_T22_nmos_svt_test_1,cgd,2.345e-15,,,
5,ft_test_T22_nmos_svt_test_1,vth,206.9e-3,,,
5,ft_test_T22_nmos_svt_test_1,vdsat,207.9e-3,,,
5,ft_test_T22_nmos_svt_test_1,gm,17.5e-3,,,
5,ft_test_T22_nmos_svt_test_1,gds,2.558e-3,,,
5,ft_test_T22_nmos_svt_test_1,gain,6.841,,,
5,ft_test_T22_nmos_svt_test_1,ids,2.857e-3,,,
5,ft_test_T22_nmos_svt_test_1,gm_id,6.123,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T22_nmos_svt_test_1,ft,245.5e9,,,
6,ft_test_T22_nmos_svt_test_1,cgg,7.499e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgs,4.884e-15,,,
6,ft_test_T22_nmos_svt_test_1,cgd,2.413e-15,,,
6,ft_test_T22_nmos_svt_test_1,vth,207.8e-3,,,
6,ft_test_T22_nmos_svt_test_1,vdsat,228e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm,18.92e-3,,,
6,ft_test_T22_nmos_svt_test_1,gds,2.973e-3,,,
6,ft_test_T22_nmos_svt_test_1,gain,6.363,,,
6,ft_test_T22_nmos_svt_test_1,ids,3.702e-3,,,
6,ft_test_T22_nmos_svt_test_1,gm_id,5.111,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T22_nmos_svt_test_1,ft,251.2e9,,,
7,ft_test_T22_nmos_svt_test_1,cgg,7.683e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgs,5.017e-15,,,
7,ft_test_T22_nmos_svt_test_1,cgd,2.48e-15,,,
7,ft_test_T22_nmos_svt_test_1,vth,208.8e-3,,,
7,ft_test_T22_nmos_svt_test_1,vdsat,248.7e-3,,,
7,ft_test_T22_nmos_svt_test_1,gm,19.74e-3,,,
7,ft_test_T22_nmos_svt_test_1,gds,3.418e-3,,,
7,ft_test_T22_nmos_svt_test_1,gain,5.776,,,
7,ft_test_T22_nmos_svt_test_1,ids,4.593e-3,,,
7,ft_test_T22_nmos_svt_test_1,gm_id,4.299,,,
"Parameters: VDS=500m, VGS=650m",,,,,,
8,ft_test_T22_nmos_svt_test_1,ft,251.3e9,,,
