Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
8,ft_test_T22_nmos_svt_test_1,gm_id,4.855,,,
"Parameters: VDS=500m, VGS=700m",,,,,,
9,ft_test_T22_nmos_svt_test_1,ft,232.1e9,,,
9,ft_test_T22_nmos_svt_test_1,cgg,7.736e-15,,,
9,ft_test_T22_nmos_svt_test_1,cgs,5.217e-15,,,
9,ft_test_T22_nmos_svt_test_1,cgd,2.318e-15,,,
9,ft_test_T22_nmos_svt_test_1,vth,329.6e-3,,,
9,ft_test_T22_nmos_svt_test_1,vdsat,248e-3,,,
9,ft_test_T22_nmos_svt_test_1,gm,18.09e-3,,,
9,ft_test_T22_nmos_svt_test_1,gds,2.697e-3,,,
9,ft_test_T22_nmos_svt_test_1,gain,6.705,,,
9,ft_test_T22_nmos_svt_test_1,ids,4.453e-3,,,
9,ft_test_T22_nmos_svt_test_1,gm_id,4.062,,,
"Parameters: VDS=500m, VGS=750m",,,,,,
10,ft_test_T22_nmos_svt_test_1,ft,229.1e9,,,
10,ft_test_T22_nmos_svt_test_1,cgg,7.915e-15,,,
10,ft_test_T22_nmos_svt_test_1,cgs,5.332e-15,,,
10,ft_test_T22_nmos_svt_test_1,cgd,2.402e-15,,,
10,ft_test_T22_nmos_svt_test_1,vth,330.2e-3,,,
10,ft_test_T22_nmos_svt_test_1,vdsat,270.2e-3,,,
10,ft_test_T22_nmos_svt_test_1,gm,18.14e-3,,,
10,ft_test_T22_nmos_svt_test_1,gds,3.16e-3,,,
10,ft_test_T22_nmos_svt_test_1,gain,5.74,,,
10,ft_test_T22_nmos_svt_test_1,ids,5.29e-3,,,
10,ft_test_T22_nmos_svt_test_1,gm_id,3.429,,,
"Parameters: VDS=500m, VGS=800m",,,,,,
11,ft_test_T22_nmos_svt_test_1,ft,222e9,,,
11,ft_test_T22_nmos_svt_test_1,cgg,8.083e-15,,,
11,ft_test_T22_nmos_svt_test_1,cgs,5.421e-15,,,
11,ft_test_T22_nmos_svt_test_1,cgd,2.498e-15,,,
11,ft_test_T22_nmos_svt_test_1,vth,330.9e-3,,,
11,ft_test_T22_nmos_svt_test_1,vdsat,292.7e-3,,,
11,ft_test_T22_nmos_svt_test_1,gm,17.88e-3,,,
11,ft_test_T22_nmos_svt_test_1,gds,3.692e-3,,,
11,ft_test_T22_nmos_svt_test_1,gain,4.843,,,
11,ft_test_T22_nmos_svt_test_1,ids,6.12e-3,,,
11,ft_test_T22_nmos_svt_test_1,gm_id,2.922,,,
"Parameters: VDS=600m, VGS=300m",,,,,,
12,ft_test_T22_nmos_svt_test_1,ft,38.84e9,,,
12,ft_test_T22_nmos_svt_test_1,cgg,5.007e-15,,,
12,ft_test_T22_nmos_svt_test_1,cgs,2.651e-15,,,
12,ft_test_T22_nmos_svt_test_1,cgd,1.886e-15,,,
12,ft_test_T22_nmos_svt_test_1,vth,319.2e-3,,,
12,ft_test_T22_nmos_svt_test_1,vdsat,102.2e-3,,,
12,ft_test_T22_nmos_svt_test_1,gm,2.32e-3,,,
12,ft_test_T22_nmos_svt_test_1,gds,202.5e-6,,,
12,ft_test_T22_nmos_svt_test_1,gain,11.46,,,
12,ft_test_T22_nmos_svt_test_1,ids,121.3e-6,,,
12,ft_test_T22_nmos_svt_test_1,gm_id,19.12,,,
"Parameters: VDS=600m, VGS=350m",,,,,,
13,ft_test_T22_nmos_svt_test_1,ft,71.4e9,,,
13,ft_test_T22_nmos_svt_test_1,cgg,5.522e-15,,,
13,ft_test_T22_nmos_svt_test_1,cgs,3.195e-15,,,
13,ft_test_T22_nmos_svt_test_1,cgd,1.911e-15,,,
13,ft_test_T22_nmos_svt_test_1,vth,319.3e-3,,,
13,ft_test_T22_nmos_svt_test_1,vdsat,112.7e-3,,,
13,ft_test_T22_nmos_svt_test_1,gm,4.498e-3,,,
13,ft_test_T22_nmos_svt_test_1,gds,397.7e-6,,,
13,ft_test_T22_nmos_svt_test_1,gain,11.31,,,
13,ft_test_T22_nmos_svt_test_1,ids,286.3e-6,,,
13,ft_test_T22_nmos_svt_test_1,gm_id,15.71,,,
"Parameters: VDS=600m, VGS=400m",,,,,,
14,ft_test_T22_nmos_svt_test_1,ft,110.6e9,,,
14,ft_test_T22_nmos_svt_test_1,cgg,6.009e-15,,,
14,ft_test_T22_nmos_svt_test_1,cgs,3.698e-15,,,
14,ft_test_T22_nmos_svt_test_1,cgd,1.942e-15,,,
14,ft_test_T22_nmos_svt_test_1,vth,319.5e-3,,,
14,ft_test_T22_nmos_svt_test_1,vdsat,127.6e-3,,,
14,ft_test_T22_nmos_svt_test_1,gm,7.295e-3,,,
14,ft_test_T22_nmos_svt_test_1,gds,656.2e-6,,,
14,ft_test_T22_nmos_svt_test_1,gain,11.12,,,
14,ft_test_T22_nmos_svt_test_1,ids,572.3e-6,,,
14,ft_test_T22_nmos_svt_test_1,gm_id,12.75,,,
"Parameters: VDS=600m, VGS=450m",,,,,,
15,ft_test_T22_nmos_svt_test_1,ft,150.2e9,,,
15,ft_test_T22_nmos_svt_test_1,cgg,6.407e-15,,,
15,ft_test_T22_nmos_svt_test_1,cgs,4.095e-15,,,
15,ft_test_T22_nmos_svt_test_1,cgd,1.981e-15,,,
15,ft_test_T22_nmos_svt_test_1,vth,319.9e-3,,,
15,ft_test_T22_nmos_svt_test_1,vdsat,145.6e-3,,,
15,ft_test_T22_nmos_svt_test_1,gm,10.31e-3,,,
15,ft_test_T22_nmos_svt_test_1,gds,949.6e-6,,,
15,ft_test_T22_nmos_svt_test_1,gain,10.86,,,
15,ft_test_T22_nmos_svt_test_1,ids,997.1e-6,,,
15,ft_test_T22_nmos_svt_test_1,gm_id,10.34,,,
"Parameters: VDS=600m, VGS=500m",,,,,,
16,ft_test_T22_nmos_svt_test_1,ft,184.6e9,,,
16,ft_test_T22_nmos_svt_test_1,cgg,6.73e-15,,,
16,ft_test_T22_nmos_svt_test_1,cgs,4.404e-15,,,
16,ft_test_T22_nmos_svt_test_1,cgd,2.026e-15,,,
16,ft_test_T22_nmos_svt_test_1,vth,320.3e-3,,,
16,ft_test_T22_nmos_svt_test_1,vdsat,165.3e-3,,,
16,ft_test_T22_nmos_svt_test_1,gm,13.13e-3,,,
16,ft_test_T22_nmos_svt_test_1,gds,1.25e-3,,,
16,ft_test_T22_nmos_svt_test_1,gain,10.5,,,
16,ft_test_T22_nmos_svt_test_1,ids,1.558e-3,,,
16,ft_test_T22_nmos_svt_test_1,gm_id,8.431,,,
"Parameters: VDS=600m, VGS=550m",,,,,,
17,ft_test_T22_nmos_svt_test_1,ft,211.8e9,,,
17,ft_test_T22_nmos_svt_test_1,cgg,6.999e-15,,,
17,ft_test_T22_nmos_svt_test_1,cgs,4.651e-15,,,
17,ft_test_T22_nmos_svt_test_1,cgd,2.073e-15,,,
17,ft_test_T22_nmos_svt_test_1,vth,320.8e-3,,,
17,ft_test_T22_nmos_svt_test_1,vdsat,186e-3,,,
17,ft_test_T22_nmos_svt_test_1,gm,15.46e-3,,,
17,ft_test_T22_nmos_svt_test_1,gds,1.54e-3,,,
17,ft_test_T22_nmos_svt_test_1,gain,10.03,,,
17,ft_test_T22_nmos_svt_test_1,ids,2.235e-3,,,
17,ft_test_T22_nmos_svt_test_1,gm_id,6.917,,,
"Parameters: VDS=600m, VGS=600m",,,,,,
18,ft_test_T22_nmos_svt_test_1,ft,230.2e9,,,
18,ft_test_T22_nmos_svt_test_1,cgg,7.228e-15,,,
18,ft_test_T22_nmos_svt_test_1,cgs,4.853e-15,,,
18,ft_test_T22_nmos_svt_test_1,cgd,2.124e-15,,,
18,ft_test_T22_nmos_svt_test_1,vth,321.4e-3,,,
18,ft_test_T22_nmos_svt_test_1,vdsat,207.3e-3,,,
18,ft_test_T22_nmos_svt_test_1,gm,17.15e-3,,,
18,ft_test_T22_nmos_svt_test_1,gds,1.817e-3,,,
18,ft_test_T22_nmos_svt_test_1,gain,9.44,,,
18,ft_test_T22_nmos_svt_test_1,ids,3.001e-3,,,
18,ft_test_T22_nmos_svt_test_1,gm_id,5.715,,,
"Parameters: VDS=600m, VGS=650m",,,,,,
19,ft_test_T22_nmos_svt_test_1,ft,240.1e9,,,
19,ft_test_T22_nmos_svt_test_1,cgg,7.428e-15,,,
19,ft_test_T22_nmos_svt_test_1,cgs,5.021e-15,,,
19,ft_test_T22_nmos_svt_test_1,cgd,2.176e-15,,,
19,ft_test_T22_nmos_svt_test_1,vth,322e-3,,,
19,ft_test_T22_nmos_svt_test_1,vdsat,228.9e-3,,,
19,ft_test_T22_nmos_svt_test_1,gm,18.22e-3,,,
19,ft_test_T22_nmos_svt_test_1,gds,2.087e-3,,,
19,ft_test_T22_nmos_svt_test_1,gain,8.733,,,
19,ft_test_T22_nmos_svt_test_1,ids,3.826e-3,,,
19,ft_test_T22_nmos_svt_test_1,gm_id,4.763,,,
"Parameters: VDS=600m, VGS=700m",,,,,,
20,ft_test_T22_nmos_svt_test_1,ft,243.3e9,,,
20,ft_test_T22_nmos_svt_test_1,cgg,7.607e-15,,,
20,ft_test_T22_nmos_svt_test_1,cgs,5.164e-15,,,
20,ft_test_T22_nmos_svt_test_1,cgd,2.231e-15,,,
20,ft_test_T22_nmos_svt_test_1,vth,322.6e-3,,,
20,ft_test_T22_nmos_svt_test_1,vdsat,250.8e-3,,,
20,ft_test_T22_nmos_svt_test_1,gm,18.77e-3,,,
20,ft_test_T22_nmos_svt_test_1,gds,2.363e-3,,,
20,ft_test_T22_nmos_svt_test_1,gain,7.941,,,
20,ft_test_T22_nmos_svt_test_1,ids,4.685e-3,,,
20,ft_test_T22_nmos_svt_test_1,gm_id,4.005,,,
"Parameters: VDS=600m, VGS=750m",,,,,,
21,ft_test_T22_nmos_svt_test_1,ft,241.6e9,,,
21,ft_test_T22_nmos_svt_test_1,cgg,7.77e-15,,,
21,ft_test_T22_nmos_svt_test_1,cgs,5.284e-15,,,
21,ft_test_T22_nmos_svt_test_1,cgd,2.291e-15,,,
21,ft_test_T22_nmos_svt_test_1,vth,323.3e-3,,,
21,ft_test_T22_nmos_svt_test_1,vdsat,273e-3,,,
21,ft_test_T22_nmos_svt_test_1,gm,18.9e-3,,,
21,ft_test_T22_nmos_svt_test_1,gds,2.66e-3,,,
21,ft_test_T22_nmos_svt_test_1,gain,7.103,,,
21,ft_test_T22_nmos_svt_test_1,ids,5.556e-3,,,
21,ft_test_T22_nmos_svt_test_1,gm_id,3.401,,,
"Parameters: VDS=600m, VGS=800m",,,,,,
22,ft_test_T22_nmos_svt_test_1,ft,236.6e9,,,
22,ft_test_T22_nmos_svt_test_1,cgg,7.92e-15,,,
22,ft_test_T22_nmos_svt_test_1,cgs,5.384e-15,,,
22,ft_test_T22_nmos_svt_test_1,cgd,2.358e-15,,,
22,ft_test_T22_nmos_svt_test_1,vth,324e-3,,,
22,ft_test_T22_nmos_svt_test_1,vdsat,295.4e-3,,,
22,ft_test_T22_nmos_svt_test_1,gm,18.72e-3,,,
22,ft_test_T22_nmos_svt_test_1,gds,2.99e-3,,,
22,ft_test_T22_nmos_svt_test_1,gain,6.262,,,
22,ft_test_T22_nmos_svt_test_1,ids,6.424e-3,,,
22,ft_test_T22_nmos_svt_test_1,gm_id,2.915,,,
"Parameters: VDS=700m, VGS=300m",,,,,,
23,ft_test_T22_nmos_svt_test_1,ft,44.32e9,,,
23,ft_test_T22_nmos_svt_test_1,cgg,4.971e-15,,,
23,ft_test_T22_nmos_svt_test_1,cgs,2.642e-15,,,
23,ft_test_T22_nmos_svt_test_1,cgd,1.856e-15,,,
23,ft_test_T22_nmos_svt_test_1,vth,312.1e-3,,,
23,ft_test_T22_nmos_svt_test_1,vdsat,103.6e-3,,,
23,ft_test_T22_nmos_svt_test_1,gm,2.646e-3,,,
23,ft_test_T22_nmos_svt_test_1,gds,228e-6,,,
23,ft_test_T22_nmos_svt_test_1,gain,11.6,,,
23,ft_test_T22_nmos_svt_test_1,ids,142.7e-6,,,
23,ft_test_T22_nmos_svt_test_1,gm_id,18.55,,,
"Parameters: VDS=700m, VGS=350m",,,,,,
24,ft_test_T22_nmos_svt_test_1,ft,79.33e9,,,
24,ft_test_T22_nmos_svt_test_1,cgg,5.471e-15,,,
24,ft_test_T22_nmos_svt_test_1,cgs,3.175e-15,,,
24,ft_test_T22_nmos_svt_test_1,cgd,1.875e-15,,,
24,ft_test_T22_nmos_svt_test_1,vth,312.2e-3,,,
24,ft_test_T22_nmos_svt_test_1,vdsat,114.7e-3,,,
24,ft_test_T22_nmos_svt_test_1,gm,4.967e-3,,,
24,ft_test_T22_nmos_svt_test_1,gds,432.7e-6,,,
24,ft_test_T22_nmos_svt_test_1,gain,11.48,,,
24,ft_test_T22_nmos_svt_test_1,ids,327e-6,,,
24,ft_test_T22_nmos_svt_test_1,gm_id,15.19,,,
"Parameters: VDS=700m, VGS=400m",,,,,,
25,ft_test_T22_nmos_svt_test_1,ft,119.5e9,,,
25,ft_test_T22_nmos_svt_test_1,cgg,5.944e-15,,,
25,ft_test_T22_nmos_svt_test_1,cgs,3.669e-15,,,
25,ft_test_T22_nmos_svt_test_1,cgd,1.901e-15,,,
