Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_nmos_svt_test_1,ft,16.1e9,,,
1,ft_test_T12_nmos_svt_test_1,cgg,15.84e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgs,-9.44e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgd,-5.352e-15,,,
1,ft_test_T12_nmos_svt_test_1,vth,394.5e-3,,,
1,ft_test_T12_nmos_svt_test_1,vdsat,53.81e-3,,,
1,ft_test_T12_nmos_svt_test_1,gm,2.184e-3,,,
1,ft_test_T12_nmos_svt_test_1,gds,237.5e-6,,,
1,ft_test_T12_nmos_svt_test_1,gain,9.197,,,
1,ft_test_T12_nmos_svt_test_1,ids,107e-6,,,
1,ft_test_T12_nmos_svt_test_1,gm_id,20.42,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_nmos_svt_test_1,ft,35.52e9,,,
2,ft_test_T12_nmos_svt_test_1,cgg,16.79e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgs,-10.64e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgd,-5.286e-15,,,
2,ft_test_T12_nmos_svt_test_1,vth,394.7e-3,,,
2,ft_test_T12_nmos_svt_test_1,vdsat,64.44e-3,,,
2,ft_test_T12_nmos_svt_test_1,gm,4.975e-3,,,
2,ft_test_T12_nmos_svt_test_1,gds,544.3e-6,,,
2,ft_test_T12_nmos_svt_test_1,gain,9.14,,,
2,ft_test_T12_nmos_svt_test_1,ids,275.4e-6,,,
2,ft_test_T12_nmos_svt_test_1,gm_id,18.06,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_nmos_svt_test_1,ft,62.72e9,,,
3,ft_test_T12_nmos_svt_test_1,cgg,17.62e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgs,-11.69e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgd,-5.231e-15,,,
3,ft_test_T12_nmos_svt_test_1,vth,394.9e-3,,,
3,ft_test_T12_nmos_svt_test_1,vdsat,79.94e-3,,,
3,ft_test_T12_nmos_svt_test_1,gm,9.134e-3,,,
3,ft_test_T12_nmos_svt_test_1,gds,1.022e-3,,,
3,ft_test_T12_nmos_svt_test_1,gain,8.941,,,
3,ft_test_T12_nmos_svt_test_1,ids,613.6e-6,,,
3,ft_test_T12_nmos_svt_test_1,gm_id,14.89,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T12_nmos_svt_test_1,ft,91.52e9,,,
4,ft_test_T12_nmos_svt_test_1,cgg,18.29e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgs,-12.53e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgd,-5.191e-15,,,
4,ft_test_T12_nmos_svt_test_1,vth,395.4e-3,,,
4,ft_test_T12_nmos_svt_test_1,vdsat,97.83e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm,13.56e-3,,,
4,ft_test_T12_nmos_svt_test_1,gds,1.585e-3,,,
4,ft_test_T12_nmos_svt_test_1,gain,8.561,,,
4,ft_test_T12_nmos_svt_test_1,ids,1.16e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm_id,11.7,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T12_nmos_svt_test_1,ft,114.5e9,,,
5,ft_test_T12_nmos_svt_test_1,cgg,18.8e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgs,-13.17e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgd,-5.164e-15,,,
5,ft_test_T12_nmos_svt_test_1,vth,396e-3,,,
5,ft_test_T12_nmos_svt_test_1,vdsat,115.6e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm,17.37e-3,,,
5,ft_test_T12_nmos_svt_test_1,gds,2.154e-3,,,
5,ft_test_T12_nmos_svt_test_1,gain,8.064,,,
5,ft_test_T12_nmos_svt_test_1,ids,1.898e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm_id,9.153,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T12_nmos_svt_test_1,ft,132.8e9,,,
6,ft_test_T12_nmos_svt_test_1,cgg,19.18e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgs,-13.65e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgd,-5.15e-15,,,
6,ft_test_T12_nmos_svt_test_1,vth,396.7e-3,,,
6,ft_test_T12_nmos_svt_test_1,vdsat,132e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm,20.4e-3,,,
6,ft_test_T12_nmos_svt_test_1,gds,2.709e-3,,,
6,ft_test_T12_nmos_svt_test_1,gain,7.531,,,
6,ft_test_T12_nmos_svt_test_1,ids,2.787e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm_id,7.319,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T12_nmos_svt_test_1,ft,147.3e9,,,
7,ft_test_T12_nmos_svt_test_1,cgg,19.47e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgs,-14e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgd,-5.148e-15,,,
7,ft_test_T12_nmos_svt_test_1,vth,397.5e-3,,,
