Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_nmos_svt_test_1,ft,117.1e9,,,
1,ft_test_T12_nmos_svt_test_1,cgg,5.131e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgs,2.986e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgd,1.799e-15,,,
1,ft_test_T12_nmos_svt_test_1,vth,207.6e-3,,,
1,ft_test_T12_nmos_svt_test_1,vdsat,128.4e-3,,,
1,ft_test_T12_nmos_svt_test_1,gm,8.295e-3,,,
1,ft_test_T12_nmos_svt_test_1,gds,917.4e-6,,,
1,ft_test_T12_nmos_svt_test_1,gain,9.041,,,
1,ft_test_T12_nmos_svt_test_1,ids,666.4e-6,,,
1,ft_test_T12_nmos_svt_test_1,gm_id,12.45,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_nmos_svt_test_1,ft,157.1e9,,,
2,ft_test_T12_nmos_svt_test_1,cgg,5.579e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgs,3.436e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgd,1.834e-15,,,
2,ft_test_T12_nmos_svt_test_1,vth,208e-3,,,
2,ft_test_T12_nmos_svt_test_1,vdsat,137.2e-3,,,
2,ft_test_T12_nmos_svt_test_1,gm,11.62e-3,,,
2,ft_test_T12_nmos_svt_test_1,gds,1.29e-3,,,
2,ft_test_T12_nmos_svt_test_1,gain,9.011,,,
2,ft_test_T12_nmos_svt_test_1,ids,1.147e-3,,,
2,ft_test_T12_nmos_svt_test_1,gm_id,10.13,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_nmos_svt_test_1,ft,190.7e9,,,
3,ft_test_T12_nmos_svt_test_1,cgg,5.954e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgs,3.8e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgd,1.876e-15,,,
3,ft_test_T12_nmos_svt_test_1,vth,208.5e-3,,,
3,ft_test_T12_nmos_svt_test_1,vdsat,148.8e-3,,,
3,ft_test_T12_nmos_svt_test_1,gm,14.58e-3,,,
3,ft_test_T12_nmos_svt_test_1,gds,1.658e-3,,,
3,ft_test_T12_nmos_svt_test_1,gain,8.794,,,
3,ft_test_T12_nmos_svt_test_1,ids,1.774e-3,,,
3,ft_test_T12_nmos_svt_test_1,gm_id,8.217,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T12_nmos_svt_test_1,ft,214.4e9,,,
4,ft_test_T12_nmos_svt_test_1,cgg,6.262e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgs,4.088e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgd,1.921e-15,,,
4,ft_test_T12_nmos_svt_test_1,vth,209e-3,,,
4,ft_test_T12_nmos_svt_test_1,vdsat,162.7e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm,16.88e-3,,,
4,ft_test_T12_nmos_svt_test_1,gds,2.01e-3,,,
4,ft_test_T12_nmos_svt_test_1,gain,8.396,,,
4,ft_test_T12_nmos_svt_test_1,ids,2.52e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm_id,6.698,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T12_nmos_svt_test_1,ft,229.7e9,,,
5,ft_test_T12_nmos_svt_test_1,cgg,6.519e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgs,4.319e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgd,1.97e-15,,,
5,ft_test_T12_nmos_svt_test_1,vth,209.6e-3,,,
5,ft_test_T12_nmos_svt_test_1,vdsat,178.8e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm,18.45e-3,,,
5,ft_test_T12_nmos_svt_test_1,gds,2.355e-3,,,
5,ft_test_T12_nmos_svt_test_1,gain,7.835,,,
5,ft_test_T12_nmos_svt_test_1,ids,3.351e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm_id,5.506,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T12_nmos_svt_test_1,ft,236.6e9,,,
6,ft_test_T12_nmos_svt_test_1,cgg,6.74e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgs,4.508e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgd,2.02e-15,,,
6,ft_test_T12_nmos_svt_test_1,vth,210.3e-3,,,
6,ft_test_T12_nmos_svt_test_1,vdsat,196.6e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm,19.36e-3,,,
6,ft_test_T12_nmos_svt_test_1,gds,2.713e-3,,,
6,ft_test_T12_nmos_svt_test_1,gain,7.137,,,
6,ft_test_T12_nmos_svt_test_1,ids,4.235e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm_id,4.572,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T12_nmos_svt_test_1,ft,237.3e9,,,
7,ft_test_T12_nmos_svt_test_1,cgg,6.936e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgs,4.665e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgd,2.076e-15,,,
7,ft_test_T12_nmos_svt_test_1,vth,210.9e-3,,,
7,ft_test_T12_nmos_svt_test_1,vdsat,216.1e-3,,,
7,ft_test_T12_nmos_svt_test_1,gm,19.73e-3,,,
7,ft_test_T12_nmos_svt_test_1,gds,3.114e-3,,,
