Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_pmos_svt_test_1,ft,19.13e9,,,
1,ft_test_T12_pmos_svt_test_1,cgg,4.712e-15,,,
1,ft_test_T12_pmos_svt_test_1,cgs,2.349e-15,,,
1,ft_test_T12_pmos_svt_test_1,cgd,1.799e-15,,,
1,ft_test_T12_pmos_svt_test_1,vth,383e-3,,,
1,ft_test_T12_pmos_svt_test_1,vdsat,82.77e-3,,,
1,ft_test_T12_pmos_svt_test_1,gm,1.27e-3,,,
1,ft_test_T12_pmos_svt_test_1,gds,154.3e-6,,,
1,ft_test_T12_pmos_svt_test_1,gain,8.231,,,
1,ft_test_T12_pmos_svt_test_1,ids,59.48e-6,,,
1,ft_test_T12_pmos_svt_test_1,gm_id,21.36,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_pmos_svt_test_1,ft,43.17e9,,,
2,ft_test_T12_pmos_svt_test_1,cgg,5.201e-15,,,
2,ft_test_T12_pmos_svt_test_1,cgs,2.879e-15,,,
2,ft_test_T12_pmos_svt_test_1,cgd,1.823e-15,,,
2,ft_test_T12_pmos_svt_test_1,vth,383e-3,,,
2,ft_test_T12_pmos_svt_test_1,vdsat,85.92e-3,,,
2,ft_test_T12_pmos_svt_test_1,gm,2.981e-3,,,
2,ft_test_T12_pmos_svt_test_1,gds,356.9e-6,,,
2,ft_test_T12_pmos_svt_test_1,gain,8.353,,,
2,ft_test_T12_pmos_svt_test_1,ids,160.8e-6,,,
2,ft_test_T12_pmos_svt_test_1,gm_id,18.54,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_pmos_svt_test_1,ft,77.65e9,,,
3,ft_test_T12_pmos_svt_test_1,cgg,5.806e-15,,,
3,ft_test_T12_pmos_svt_test_1,cgs,3.522e-15,,,
3,ft_test_T12_pmos_svt_test_1,cgd,1.856e-15,,,
3,ft_test_T12_pmos_svt_test_1,vth,383.2e-3,,,
3,ft_test_T12_pmos_svt_test_1,vdsat,92.25e-3,,,
3,ft_test_T12_pmos_svt_test_1,gm,5.627e-3,,,
3,ft_test_T12_pmos_svt_test_1,gds,670.4e-6,,,
3,ft_test_T12_pmos_svt_test_1,gain,8.393,,,
3,ft_test_T12_pmos_svt_test_1,ids,369.8e-6,,,
3,ft_test_T12_pmos_svt_test_1,gm_id,15.22,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T12_pmos_svt_test_1,ft,115.2e9,,,
4,ft_test_T12_pmos_svt_test_1,cgg,6.297e-15,,,
4,ft_test_T12_pmos_svt_test_1,cgs,4.025e-15,,,
4,ft_test_T12_pmos_svt_test_1,cgd,1.898e-15,,,
4,ft_test_T12_pmos_svt_test_1,vth,383.5e-3,,,
4,ft_test_T12_pmos_svt_test_1,vdsat,102.1e-3,,,
4,ft_test_T12_pmos_svt_test_1,gm,8.736e-3,,,
4,ft_test_T12_pmos_svt_test_1,gds,1.047e-3,,,
4,ft_test_T12_pmos_svt_test_1,gain,8.347,,,
4,ft_test_T12_pmos_svt_test_1,ids,719.9e-6,,,
4,ft_test_T12_pmos_svt_test_1,gm_id,12.13,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T12_pmos_svt_test_1,ft,150.2e9,,,
5,ft_test_T12_pmos_svt_test_1,cgg,6.672e-15,,,
5,ft_test_T12_pmos_svt_test_1,cgs,4.391e-15,,,
5,ft_test_T12_pmos_svt_test_1,cgd,1.946e-15,,,
5,ft_test_T12_pmos_svt_test_1,vth,383.8e-3,,,
5,ft_test_T12_pmos_svt_test_1,vdsat,115.1e-3,,,
5,ft_test_T12_pmos_svt_test_1,gm,11.72e-3,,,
5,ft_test_T12_pmos_svt_test_1,gds,1.427e-3,,,
5,ft_test_T12_pmos_svt_test_1,gain,8.213,,,
5,ft_test_T12_pmos_svt_test_1,ids,1.216e-3,,,
5,ft_test_T12_pmos_svt_test_1,gm_id,9.637,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T12_pmos_svt_test_1,ft,177.7e9,,,
6,ft_test_T12_pmos_svt_test_1,cgg,6.971e-15,,,
6,ft_test_T12_pmos_svt_test_1,cgs,4.67e-15,,,
