Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_nmos_svt_test_1,ft,36.83e9,,,
1,ft_test_T12_nmos_svt_test_1,cgg,4.36e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgs,2.248e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgd,1.608e-15,,,
1,ft_test_T12_nmos_svt_test_1,vth,295.8e-3,,,
1,ft_test_T12_nmos_svt_test_1,vdsat,116.5e-3,,,
1,ft_test_T12_nmos_svt_test_1,gm,2.425e-3,,,
1,ft_test_T12_nmos_svt_test_1,gds,189.2e-6,,,
1,ft_test_T12_nmos_svt_test_1,gain,12.82,,,
1,ft_test_T12_nmos_svt_test_1,ids,124e-6,,,
1,ft_test_T12_nmos_svt_test_1,gm_id,19.55,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_nmos_svt_test_1,ft,69.97e9,,,
2,ft_test_T12_nmos_svt_test_1,cgg,4.811e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgs,2.726e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgd,1.633e-15,,,
2,ft_test_T12_nmos_svt_test_1,vth,295.9e-3,,,
2,ft_test_T12_nmos_svt_test_1,vdsat,123e-3,,,
2,ft_test_T12_nmos_svt_test_1,gm,4.803e-3,,,
2,ft_test_T12_nmos_svt_test_1,gds,371.5e-6,,,
2,ft_test_T12_nmos_svt_test_1,gain,12.93,,,
2,ft_test_T12_nmos_svt_test_1,ids,298.9e-6,,,
2,ft_test_T12_nmos_svt_test_1,gm_id,16.07,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_nmos_svt_test_1,ft,109e9,,,
3,ft_test_T12_nmos_svt_test_1,cgg,5.311e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgs,3.241e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgd,1.669e-15,,,
3,ft_test_T12_nmos_svt_test_1,vth,296.1e-3,,,
3,ft_test_T12_nmos_svt_test_1,vdsat,133.5e-3,,,
3,ft_test_T12_nmos_svt_test_1,gm,7.791e-3,,,
3,ft_test_T12_nmos_svt_test_1,gds,608.7e-6,,,
3,ft_test_T12_nmos_svt_test_1,gain,12.8,,,
3,ft_test_T12_nmos_svt_test_1,ids,605.6e-6,,,
3,ft_test_T12_nmos_svt_test_1,gm_id,12.86,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T12_nmos_svt_test_1,ft,145.6e9,,,
4,ft_test_T12_nmos_svt_test_1,cgg,5.746e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgs,3.673e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgd,1.716e-15,,,
4,ft_test_T12_nmos_svt_test_1,vth,296.4e-3,,,
4,ft_test_T12_nmos_svt_test_1,vdsat,146.9e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm,10.81e-3,,,
4,ft_test_T12_nmos_svt_test_1,gds,872.8e-6,,,
4,ft_test_T12_nmos_svt_test_1,gain,12.39,,,
4,ft_test_T12_nmos_svt_test_1,ids,1.057e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm_id,10.23,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T12_nmos_svt_test_1,ft,174.7e9,,,
5,ft_test_T12_nmos_svt_test_1,cgg,6.112e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgs,4.022e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgd,1.77e-15,,,
5,ft_test_T12_nmos_svt_test_1,vth,296.8e-3,,,
5,ft_test_T12_nmos_svt_test_1,vdsat,162.3e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm,13.41e-3,,,
5,ft_test_T12_nmos_svt_test_1,gds,1.146e-3,,,
5,ft_test_T12_nmos_svt_test_1,gain,11.7,,,
5,ft_test_T12_nmos_svt_test_1,ids,1.64e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm_id,8.177,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T12_nmos_svt_test_1,ft,194.7e9,,,
6,ft_test_T12_nmos_svt_test_1,cgg,6.427e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgs,4.309e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgd,1.831e-15,,,
6,ft_test_T12_nmos_svt_test_1,vth,297.2e-3,,,
6,ft_test_T12_nmos_svt_test_1,vdsat,179.1e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm,15.36e-3,,,
6,ft_test_T12_nmos_svt_test_1,gds,1.43e-3,,,
6,ft_test_T12_nmos_svt_test_1,gain,10.75,,,
6,ft_test_T12_nmos_svt_test_1,ids,2.327e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm_id,6.602,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T12_nmos_svt_test_1,ft,206.4e9,,,
7,ft_test_T12_nmos_svt_test_1,cgg,6.703e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgs,4.548e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgd,1.898e-15,,,
7,ft_test_T12_nmos_svt_test_1,vth,297.7e-3,,,
7,ft_test_T12_nmos_svt_test_1,vdsat,197.3e-3,,,
7,ft_test_T12_nmos_svt_test_1,gm,16.65e-3,,,
7,ft_test_T12_nmos_svt_test_1,gds,1.736e-3,,,
7,ft_test_T12_nmos_svt_test_1,gain,9.595,,,
7,ft_test_T12_nmos_svt_test_1,ids,3.086e-3,,,
7,ft_test_T12_nmos_svt_test_1,gm_id,5.396,,,
