Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_nmos_svt_test_1,ft,11.7e9,,,
1,ft_test_T12_nmos_svt_test_1,cgg,2.967e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgs,1.681e-15,,,
1,ft_test_T12_nmos_svt_test_1,cgd,1.178e-15,,,
1,ft_test_T12_nmos_svt_test_1,vth,417.5e-3,,,
1,ft_test_T12_nmos_svt_test_1,vdsat,88.13e-3,,,
1,ft_test_T12_nmos_svt_test_1,gm,627.4e-6,,,
1,ft_test_T12_nmos_svt_test_1,gds,13.66e-6,,,
1,ft_test_T12_nmos_svt_test_1,gain,45.92,,,
1,ft_test_T12_nmos_svt_test_1,ids,21.15e-6,,,
1,ft_test_T12_nmos_svt_test_1,gm_id,29.66,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_nmos_svt_test_1,ft,39.67e9,,,
2,ft_test_T12_nmos_svt_test_1,cgg,3.414e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgs,2.11e-15,,,
2,ft_test_T12_nmos_svt_test_1,cgd,1.195e-15,,,
2,ft_test_T12_nmos_svt_test_1,vth,417.5e-3,,,
2,ft_test_T12_nmos_svt_test_1,vdsat,94.37e-3,,,
2,ft_test_T12_nmos_svt_test_1,gm,2.232e-3,,,
2,ft_test_T12_nmos_svt_test_1,gds,46.47e-6,,,
2,ft_test_T12_nmos_svt_test_1,gain,48.03,,,
2,ft_test_T12_nmos_svt_test_1,ids,85.64e-6,,,
2,ft_test_T12_nmos_svt_test_1,gm_id,26.06,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_nmos_svt_test_1,ft,94.41e9,,,
3,ft_test_T12_nmos_svt_test_1,cgg,3.996e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgs,2.671e-15,,,
3,ft_test_T12_nmos_svt_test_1,cgd,1.217e-15,,,
3,ft_test_T12_nmos_svt_test_1,vth,417.4e-3,,,
3,ft_test_T12_nmos_svt_test_1,vdsat,105.2e-3,,,
3,ft_test_T12_nmos_svt_test_1,gm,5.644e-3,,,
3,ft_test_T12_nmos_svt_test_1,gds,121.9e-6,,,
3,ft_test_T12_nmos_svt_test_1,gain,46.31,,,
3,ft_test_T12_nmos_svt_test_1,ids,272.6e-6,,,
3,ft_test_T12_nmos_svt_test_1,gm_id,20.7,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T12_nmos_svt_test_1,ft,163.1e9,,,
4,ft_test_T12_nmos_svt_test_1,cgg,4.55e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgs,3.197e-15,,,
4,ft_test_T12_nmos_svt_test_1,cgd,1.245e-15,,,
4,ft_test_T12_nmos_svt_test_1,vth,417.2e-3,,,
4,ft_test_T12_nmos_svt_test_1,vdsat,117.4e-3,,,
4,ft_test_T12_nmos_svt_test_1,gm,10.29e-3,,,
4,ft_test_T12_nmos_svt_test_1,gds,251.7e-6,,,
4,ft_test_T12_nmos_svt_test_1,gain,40.89,,,
4,ft_test_T12_nmos_svt_test_1,ids,656.4e-6,,,
4,ft_test_T12_nmos_svt_test_1,gm_id,15.68,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T12_nmos_svt_test_1,ft,221.5e9,,,
5,ft_test_T12_nmos_svt_test_1,cgg,5.052e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgs,3.665e-15,,,
5,ft_test_T12_nmos_svt_test_1,cgd,1.279e-15,,,
5,ft_test_T12_nmos_svt_test_1,vth,416.9e-3,,,
5,ft_test_T12_nmos_svt_test_1,vdsat,128.9e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm,14.67e-3,,,
5,ft_test_T12_nmos_svt_test_1,gds,433.9e-6,,,
5,ft_test_T12_nmos_svt_test_1,gain,33.8,,,
5,ft_test_T12_nmos_svt_test_1,ids,1.252e-3,,,
5,ft_test_T12_nmos_svt_test_1,gm_id,11.71,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T12_nmos_svt_test_1,ft,254.8e9,,,
6,ft_test_T12_nmos_svt_test_1,cgg,5.481e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgs,4.053e-15,,,
6,ft_test_T12_nmos_svt_test_1,cgd,1.319e-15,,,
6,ft_test_T12_nmos_svt_test_1,vth,416.4e-3,,,
6,ft_test_T12_nmos_svt_test_1,vdsat,139.2e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm,17.57e-3,,,
6,ft_test_T12_nmos_svt_test_1,gds,649.8e-6,,,
6,ft_test_T12_nmos_svt_test_1,gain,27.03,,,
6,ft_test_T12_nmos_svt_test_1,ids,2.005e-3,,,
6,ft_test_T12_nmos_svt_test_1,gm_id,8.762,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T12_nmos_svt_test_1,ft,272.9e9,,,
7,ft_test_T12_nmos_svt_test_1,cgg,5.831e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgs,4.357e-15,,,
7,ft_test_T12_nmos_svt_test_1,cgd,1.365e-15,,,
7,ft_test_T12_nmos_svt_test_1,vth,415.9e-3,,,
7,ft_test_T12_nmos_svt_test_1,vdsat,148.8e-3,,,
7,ft_test_T12_nmos_svt_test_1,gm,19.34e-3,,,
7,ft_test_T12_nmos_svt_test_1,gds,895.4e-6,,,
7,ft_test_T12_nmos_svt_test_1,gain,21.59,,,
7,ft_test_T12_nmos_svt_test_1,ids,2.849e-3,,,
7,ft_test_T12_nmos_svt_test_1,gm_id,6.788,,,
"Parameters: VDS=500m, VGS=650m",,,,,,
8,ft_test_T12_nmos_svt_test_1,ft,282e9,,,
8,ft_test_T12_nmos_svt_test_1,cgg,6.12e-15,,,
8,ft_test_T12_nmos_svt_test_1,cgs,4.593e-15,,,
8,ft_test_T12_nmos_svt_test_1,cgd,1.418e-15,,,
8,ft_test_T12_nmos_svt_test_1,vth,415.4e-3,,,
8,ft_test_T12_nmos_svt_test_1,vdsat,158e-3,,,
8,ft_test_T12_nmos_svt_test_1,gm,20.52e-3,,,
8,ft_test_T12_nmos_svt_test_1,gds,1.185e-3,,,
8,ft_test_T12_nmos_svt_test_1,gain,17.31,,,
8,ft_test_T12_nmos_svt_test_1,ids,3.745e-3,,,
8,ft_test_T12_nmos_svt_test_1,gm_id,5.478,,,
"Parameters: VDS=500m, VGS=700m",,,,,,
9,ft_test_T12_nmos_svt_test_1,ft,285.7e9,,,
9,ft_test_T12_nmos_svt_test_1,cgg,6.369e-15,,,
9,ft_test_T12_nmos_svt_test_1,cgs,4.781e-15,,,
9,ft_test_T12_nmos_svt_test_1,cgd,1.479e-15,,,
9,ft_test_T12_nmos_svt_test_1,vth,414.9e-3,,,
9,ft_test_T12_nmos_svt_test_1,vdsat,167e-3,,,
9,ft_test_T12_nmos_svt_test_1,gm,21.29e-3,,,
9,ft_test_T12_nmos_svt_test_1,gds,1.531e-3,,,
9,ft_test_T12_nmos_svt_test_1,gain,13.9,,,
9,ft_test_T12_nmos_svt_test_1,ids,4.672e-3,,,
9,ft_test_T12_nmos_svt_test_1,gm_id,4.557,,,
"Parameters: VDS=500m, VGS=750m",,,,,,
10,ft_test_T12_nmos_svt_test_1,ft,285.4e9,,,
10,ft_test_T12_nmos_svt_test_1,cgg,6.592e-15,,,
10,ft_test_T12_nmos_svt_test_1,cgs,4.936e-15,,,
10,ft_test_T12_nmos_svt_test_1,cgd,1.548e-15,,,
10,ft_test_T12_nmos_svt_test_1,vth,414.3e-3,,,
10,ft_test_T12_nmos_svt_test_1,vdsat,176e-3,,,
10,ft_test_T12_nmos_svt_test_1,gm,21.72e-3,,,
10,ft_test_T12_nmos_svt_test_1,gds,1.942e-3,,,
10,ft_test_T12_nmos_svt_test_1,gain,11.19,,,
10,ft_test_T12_nmos_svt_test_1,ids,5.612e-3,,,
10,ft_test_T12_nmos_svt_test_1,gm_id,3.871,,,
"Parameters: VDS=500m, VGS=800m",,,,,,
11,ft_test_T12_nmos_svt_test_1,ft,281.6e9,,,
11,ft_test_T12_nmos_svt_test_1,cgg,6.798e-15,,,
11,ft_test_T12_nmos_svt_test_1,cgs,5.066e-15,,,
11,ft_test_T12_nmos_svt_test_1,cgd,1.624e-15,,,
11,ft_test_T12_nmos_svt_test_1,vth,413.8e-3,,,
11,ft_test_T12_nmos_svt_test_1,vdsat,185.2e-3,,,
11,ft_test_T12_nmos_svt_test_1,gm,21.87e-3,,,
11,ft_test_T12_nmos_svt_test_1,gds,2.426e-3,,,
11,ft_test_T12_nmos_svt_test_1,gain,9.018,,,
11,ft_test_T12_nmos_svt_test_1,ids,6.551e-3,,,
11,ft_test_T12_nmos_svt_test_1,gm_id,3.339,,,
"Parameters: VDS=600m, VGS=300m",,,,,,
12,ft_test_T12_nmos_svt_test_1,ft,12.4e9,,,
12,ft_test_T12_nmos_svt_test_1,cgg,2.937e-15,,,
