Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: VDS=500m, VGS=300m",,,,,,
1,ft_test_T12_pmos_svt_test_1,ft,11.65e9,,,
1,ft_test_T12_pmos_svt_test_1,cgg,3.42e-15,,,
1,ft_test_T12_pmos_svt_test_1,cgs,2.073e-15,,,
1,ft_test_T12_pmos_svt_test_1,cgd,1.274e-15,,,
1,ft_test_T12_pmos_svt_test_1,vth,410.9e-3,,,
1,ft_test_T12_pmos_svt_test_1,vdsat,107.5e-3,,,
1,ft_test_T12_pmos_svt_test_1,gm,710.5e-6,,,
1,ft_test_T12_pmos_svt_test_1,gds,37.84e-6,,,
1,ft_test_T12_pmos_svt_test_1,gain,18.78,,,
1,ft_test_T12_pmos_svt_test_1,ids,25.7e-6,,,
1,ft_test_T12_pmos_svt_test_1,gm_id,27.65,,,
"Parameters: VDS=500m, VGS=350m",,,,,,
2,ft_test_T12_pmos_svt_test_1,ft,35.18e9,,,
2,ft_test_T12_pmos_svt_test_1,cgg,3.795e-15,,,
2,ft_test_T12_pmos_svt_test_1,cgs,2.417e-15,,,
2,ft_test_T12_pmos_svt_test_1,cgd,1.305e-15,,,
2,ft_test_T12_pmos_svt_test_1,vth,410.8e-3,,,
2,ft_test_T12_pmos_svt_test_1,vdsat,118.5e-3,,,
2,ft_test_T12_pmos_svt_test_1,gm,2.244e-3,,,
2,ft_test_T12_pmos_svt_test_1,gds,113.6e-6,,,
2,ft_test_T12_pmos_svt_test_1,gain,19.75,,,
2,ft_test_T12_pmos_svt_test_1,ids,93.42e-6,,,
2,ft_test_T12_pmos_svt_test_1,gm_id,24.02,,,
"Parameters: VDS=500m, VGS=400m",,,,,,
3,ft_test_T12_pmos_svt_test_1,ft,77.94e9,,,
3,ft_test_T12_pmos_svt_test_1,cgg,4.232e-15,,,
3,ft_test_T12_pmos_svt_test_1,cgs,2.817e-15,,,
3,ft_test_T12_pmos_svt_test_1,cgd,1.342e-15,,,
3,ft_test_T12_pmos_svt_test_1,vth,410.7e-3,,,
3,ft_test_T12_pmos_svt_test_1,vdsat,136e-3,,,
3,ft_test_T12_pmos_svt_test_1,gm,5.295e-3,,,
3,ft_test_T12_pmos_svt_test_1,gds,260.6e-6,,,
3,ft_test_T12_pmos_svt_test_1,gain,20.32,,,
3,ft_test_T12_pmos_svt_test_1,ids,272.3e-6,,,
3,ft_test_T12_pmos_svt_test_1,gm_id,19.45,,,
"Parameters: VDS=500m, VGS=450m",,,,,,
4,ft_test_T12_pmos_svt_test_1,ft,133.5e9,,,
4,ft_test_T12_pmos_svt_test_1,cgg,4.674e-15,,,
4,ft_test_T12_pmos_svt_test_1,cgs,3.213e-15,,,
4,ft_test_T12_pmos_svt_test_1,cgd,1.388e-15,,,
4,ft_test_T12_pmos_svt_test_1,vth,410.5e-3,,,
4,ft_test_T12_pmos_svt_test_1,vdsat,155.4e-3,,,
4,ft_test_T12_pmos_svt_test_1,gm,9.529e-3,,,
4,ft_test_T12_pmos_svt_test_1,gds,477e-6,,,
4,ft_test_T12_pmos_svt_test_1,gain,19.98,,,
4,ft_test_T12_pmos_svt_test_1,ids,625.7e-6,,,
4,ft_test_T12_pmos_svt_test_1,gm_id,15.23,,,
"Parameters: VDS=500m, VGS=500m",,,,,,
5,ft_test_T12_pmos_svt_test_1,ft,184.3e9,,,
5,ft_test_T12_pmos_svt_test_1,cgg,5.102e-15,,,
5,ft_test_T12_pmos_svt_test_1,cgs,3.583e-15,,,
5,ft_test_T12_pmos_svt_test_1,cgd,1.446e-15,,,
5,ft_test_T12_pmos_svt_test_1,vth,410.2e-3,,,
5,ft_test_T12_pmos_svt_test_1,vdsat,174e-3,,,
5,ft_test_T12_pmos_svt_test_1,gm,13.9e-3,,,
5,ft_test_T12_pmos_svt_test_1,gds,741.3e-6,,,
5,ft_test_T12_pmos_svt_test_1,gain,18.76,,,
5,ft_test_T12_pmos_svt_test_1,ids,1.176e-3,,,
5,ft_test_T12_pmos_svt_test_1,gm_id,11.82,,,
"Parameters: VDS=500m, VGS=550m",,,,,,
6,ft_test_T12_pmos_svt_test_1,ft,220e9,,,
6,ft_test_T12_pmos_svt_test_1,cgg,5.489e-15,,,
6,ft_test_T12_pmos_svt_test_1,cgs,3.9e-15,,,
6,ft_test_T12_pmos_svt_test_1,cgd,1.517e-15,,,
6,ft_test_T12_pmos_svt_test_1,vth,409.7e-3,,,
6,ft_test_T12_pmos_svt_test_1,vdsat,191.1e-3,,,
6,ft_test_T12_pmos_svt_test_1,gm,17.37e-3,,,
6,ft_test_T12_pmos_svt_test_1,gds,1.026e-3,,,
6,ft_test_T12_pmos_svt_test_1,gain,16.93,,,
6,ft_test_T12_pmos_svt_test_1,ids,1.894e-3,,,
6,ft_test_T12_pmos_svt_test_1,gm_id,9.173,,,
"Parameters: VDS=500m, VGS=600m",,,,,,
7,ft_test_T12_pmos_svt_test_1,ft,241.5e9,,,
7,ft_test_T12_pmos_svt_test_1,cgg,5.827e-15,,,
7,ft_test_T12_pmos_svt_test_1,cgs,4.152e-15,,,
7,ft_test_T12_pmos_svt_test_1,cgd,1.602e-15,,,
7,ft_test_T12_pmos_svt_test_1,vth,409.2e-3,,,
7,ft_test_T12_pmos_svt_test_1,vdsat,207e-3,,,
7,ft_test_T12_pmos_svt_test_1,gm,19.78e-3,,,
7,ft_test_T12_pmos_svt_test_1,gds,1.333e-3,,,
7,ft_test_T12_pmos_svt_test_1,gain,14.84,,,
7,ft_test_T12_pmos_svt_test_1,ids,2.724e-3,,,
7,ft_test_T12_pmos_svt_test_1,gm_id,7.26,,,
"Parameters: VDS=500m, VGS=650m",,,,,,
8,ft_test_T12_pmos_svt_test_1,ft,252e9,,,
8,ft_test_T12_pmos_svt_test_1,cgg,6.124e-15,,,
8,ft_test_T12_pmos_svt_test_1,cgs,4.347e-15,,,
8,ft_test_T12_pmos_svt_test_1,cgd,1.704e-15,,,
8,ft_test_T12_pmos_svt_test_1,vth,408.6e-3,,,
8,ft_test_T12_pmos_svt_test_1,vdsat,222.3e-3,,,
